verbatim	standard	checked	error	misplaced	incorrectable	source	comment
acceptednameusage	acceptedNameUsage	1					
acceptednameusageid	acceptedNameUsageID	1					
accessrights	accessRights	1					
associatedmedia	associatedMedia	1					
associatedoccurrences	associatedOccurrences	1					
associatedorganisms	associatedOrganisms	1					
associatedreferences	associatedReferences	1					
associatedsequences	associatedSequences	1					
associatedtaxa	associatedTaxa	1					
basisofidentification		1					no equivalent term in DwC
basisofrecord	basisOfRecord	1					
bcid		1	ambiguous		1		
bibliographiccitation	bibliographicCitation	1					
catalognumber	catalogNumber	1					
collectioncode	collectionCode	1					
collectionid	collectionID	1					
countrycode	countryCode	1					
coordinateprecision	coordinatePrecision	1					
coordinateuncertaintyinmeters	coordinateUncertaintyInMeters	1					
datageneralizations	dataGeneralizations	1					
datasetid	datasetID	1					
datasetname	datasetName	1					
dateIdentified	dateIdentified	1					
daycollected	day	1					
dayidentified	dayIdentified	1					Darwin Cloud used as part of dateIdentified
decimallatitude	decimalLatitude	1					
decimallongitude	decimalLongitude	1					
dynamicproperties	dynamicProperties	1					
earliesteonorlowesteonothem	earliestEonOrLowestEonothem	1					
earliesteraorlowesterathem	earliestEraOrLowestErathem	1					
earliestperiodorlowestsystem	earliestPeriodOrLowestSystem	1					
earliestepochorlowestseries	earliestEpochOrLowestSeries	1					
earliestageorloweststage	earliestAgeOrLowestStage	1					
enddayofyear	endDayOfYear	1					
eventdate	eventDate	1					
eventid	eventID	1					
eventremarks	eventRemarks	1					
eventtime	eventTime	1					
extractionid		1					no equivalent term in DwC
fieldnumber	fieldNumber	1					
fieldnotes	fieldNotes	1					
footprintwkt	footprintWKT	1					
footprintsrs	footprintSRS	1					
footprintspatialfit	footprintSpatialFit	1					
fundingsource		1					no equivalent term in DwC
genetictissuetype		1					no equivalent term in DwC
geodeticdatum	geodeticDatum	1					
geologicalcontextid	geologicalContextID	1					
georeferencedby	georeferencedBy	1					
georeferenceddate	georeferencedDate	1					
georeferenceprotocol	georeferenceProtocol	1					
georeferencesources	georeferenceSources	1					
georeferenceverificationstatus	georeferenceVerificationStatus	1					
georeferenceremarks	georeferenceRemarks	1					
higherclassification	higherClassification	1					
highergeography	higherGeography	1					
highergeographyid	higherGeographyID	1					
highestbiostratigraphiczone	highestBiostratigraphicZone	1					
id		1	ambiguous		1		
identificationid	identificationID	1					
identificationqualifier	identificationQualifier	1					
identificationreferences	identificationReferences	1					
identificationremarks	identificationRemarks	1					
identificationverificationstatus	identificationVerificationStatus	1					
identifiedby	identifiedBy	1					
individualcount	individualCount	1					
informationwithheld	informationWithheld	1					
infraspecificepithet	infraspecificEpithet	1					
institutioncode	institutionCode	1					
institutionid	institutionID	1					
islandgroup	islandGroup	1					
latesteonorhighesteonothem	latestEonOrHighestEonothem	1					
latesteraorhighesterathem	latestEraOrHighestErathem	1					
latestperiodorhighestsystem	latestPeriodOrHighestSystem	1					
latestepochorhighestseries	latestEpochOrHighestSeries	1					
latestageorhigheststage	latestAgeOrHighestStage	1					
length	length	1					dynamicProperties as length
lifestage	lifeStage	1					
lithostratigraphicterms	lithostratigraphicTerms	1					
locationaccordingto	locationAccordingTo	1					
locationid	locationID	1					
locationremarks	locationRemarks	1					
lowestbiostratigraphiczone	lowestBiostratigraphicZone	1					
maximumdepthinmeters	maximumDepthInMeters	1					
maximumdistanceabovesurfaceInmeters	maximumDistanceAboveSurfaceInMeters	1					
maximumelevationinmeters	maximumElevationInMeters	1					
microhabitat		1					no equivalent term in DwC
materialsampleid	materialSampleID	1					
minimumdepthinmeters	minimumDepthInMeters	1					
minimumdistanceabovesurfaceInmeters	minimumDistanceAboveSurfaceInMeters	1					
minimumelevationinmeters	minimumElevationInMeters	1					
monthcollected	month	1					
monthidentified	monthIdentified	1					Darwin Cloud used as part of dateIdentified
nameaccordingto	nameAccordingTo	1					
nameaccordingtoid	nameAccordingToID	1					
namepublishedin	namePublishedIn	1					
namepublishedinid	namePublishedInID	1					
namepublishedinyear	namePublishedInYear	1					
nomenclaturalcode	nomenclaturalCode	1					
nomenclaturalstatus	nomenclaturalStatus	1					
occurrenceid	occurrenceID	1					
occurrenceremarks	occurrenceRemarks	1					
occurrencestatus	occurrenceStatus	1					
organismid	organismID	1					
organismname	organismName	1					
organismquantity	organismQuantity	1					
organismquantitytype	organismQuantityType	1					
organismremarks	organismRemarks	1					
organismscope	organismScope	1					
originalnameusage	originalNameUsage	1					
originalnameusageid	originalNameUsageID	1					
othercatalognumbers	otherCatalogNumbers	1					
ownerinstitutioncode	ownerInstitutionCode	1					
parenteventid	parentEventID	1					
parentnameusage	parentNameUsage	1					
parentnameusageid	parentNameUsageID	1					
permitinformation		1					no equivalent term in DwC
plateid		1					no equivalent term in DwC
pointradiusspatialfit	pointRadiusSpatialFit	1					
preservative		1					no equivalent term in DwC
previousidentifications	previousIdentifications	1					
previoustissueid	otherCatalogNumbers	1					
principalinvestigator		1					no equivalent term in DwC
recordedby	recordedBy	1					
recordednumber	recordedNumber	1					
reproductivecondition	reproductiveCondition	1					
samplingeffort	samplingEffort	1					
samplingprotocol	samplingProtocol	1					
rightsholder	rightsHolder	1					
samplesizevalue	sampleSizeValue	1					
samplesizeunit	sampleSizeUnit	1					
sampleownerinstitutioncode	ownerInstitutionCode	1					
scientificname	scientificName	1					
scientificnameid	scientificNameID	1					
scientificnameauthorship	scientificNameAuthorship	1					
species	specificEpithet	1					
specificepithet	specificEpithet	1					
startdayofyear	startDayOfYear	1					
stateprovince	stateProvince	1					
subspecies	infraspecificEpithet	1					
substratum		1					no equivalent term in DwC
taxonid	taxonID	1					
taxonconceptid	taxonConceptID	1					
taxonomicstatus	taxonomicStatus	1					
taxonrank	taxonRank	1					
taxonremarks	taxonRemarks	1					
tissuestorageid		1					no equivalent term in DwC
typestatus	typeStatus	1					
verbatimcoordinates	verbatimCoordinates	1					
verbatimcoordinatesystem	verbatimCoordinateSystem	1					
verbatimdepth	verbatimDepth	1					
verbatimelevation	verbatimElevation	1					
verbatimeventdate	verbatimEventDate	1					
verbatimlatitude	verbatimLatitude	1					
verbatimlocality	verbatimLocality	1					
verbatimlongitude	verbatimLongitude	1					
verbatimSRS	verbatimSRS	1					
verbatimtaxonrank	verbatimTaxonRank	1					
vernacularname	vernacularName	1					
weight	weight						dynamicProperties as weight
wellid		1					no equivalent term in DwC
wormsid	taxonID	1					
waterbody	waterBody	1					
yearcollected	year	1					
yearidentified	yearIdentified	1					Darwin Cloud used as part of dateIdentified
