geogkey	continent	country	countryCode	stateProvince	county	municipality	waterBody	islandGroup	island	standard	vetted	error	misplaced	unresolved	source	comment
||||||||											1			0		
|United States||California|||||	North America	United States	US	California							1			0		
|United States||California|Kern||||											0			0		
|United States||California|Kern||||											0			0		
|United States||California|San Bernardino||||											0			0		
|United States||California|||||											0			0		
|United States||Colorado|||||											0			0		
|United States||Hawaii|Honolulu||||											0			0		
|United States||Washington|Chelan||||											0			0		
|United States||California|Kern||||											0			0		
|United States||California|San Bernardino||||											0			0		
|United States||California|||||											0			0		
|United States||Colorado|||||											0			0		
|United States||Hawaii|Honolulu||||											0			0		
|United States||Washington|Chelan||||											0			0		
