verbatim	standard	checked	error	misplaced	incorrectable	source	comment
juv.	juvenile	1	LifeStage is an abbreviation.	0	0		
juv	juvenile	1	LifeStage is an abbreviation.	0	0		
j	juvenile	1	LifeStage is an abbreviation.	0	0		
a	adult	1	LifeStage is an abbreviation.	0	0		
ad	adult	1	LifeStage is an abbreviation.	0	0		
ad.	adult	1	LifeStage is an abbreviation.	0	0		
sub	subadult	1	LifeStage is an abbreviation.	0	0		
sub.	subadult	1	LifeStage is an abbreviation.	0	0		
i	immature	1	LifeStage is an abbreviation.	0	0		
imm	immature	1	LifeStage is an abbreviation.	0	0		
imm.	immature	1	LifeStage is an abbreviation.	0	0		
