verbatim	standard	vetted	error	misplaced	unresolved	source	comment
1	1	1					
2	2	1					
3	3	1					
4	4	1					
5	5	1					
6	6	1					
7	7	1					
8	8	1					
9	9	1					
10	10	1					
11	11	1					
12	12	1					
January	1	1					
February	2	1					
March	3	1					
April	4	1					
May	5	1					
June	6	1					
July	7	1					
August	8	1					
September	9	1					
October	10	1					
November	11	1					
December	12	1					
Jan	1	1					
Feb	2	1					
Mar	3	1					
Apr	4	1					
Jun	6	1					
Jul	7	1					
Aug	8	1					
Sep	9	1					
Sept	9	1					
Oct	10	1					
Nov	11	1					
Dec	12	1					
Jan.	1	1					
Feb.	2	1					
Mar.	3	1					
Apr.	4	1					
Jun.	6	1					
Jul.	7	1					
Aug.	8	1					
Sep.	9	1					
Sept.	9	1					
Oct.	10	1					
Nov.	11	1					
Dec.	12	1					
i	1	1					
ii	2	1					
iii	3	1					
iv	4	1					
v	5	1					
vi	6	1					
vii	7	1					
viii	8	1					
ix	9	1					
x	10	1					
xi	11	1					
xii	12	1					
