verbatim	standard	checked	error	misplaced	incorrectable	source	comment
skel	skeleton	1	Preparations is an abbreviation.	0	0		
Skull - 1; Skin - 1	skin | skull	1		0	0		
Skin - 1	skin	1		0	0		
Skull - 1	skull	1		0	0		
Skeleton - 1; Skin - 1	skeleton | skin	1		0	0		
Flat Skin - 1	skin (flat)	1		0	0		
Skull - 1; Flat Skin - 1	skin (flat) | skull	1		0	0		
Whole (EtOH)	whole animal (EtOH)	1		0	0		
Whole (Formalin)	whole animal (Formalin)	1		0	0		
Skeleton - 1; Study skin - 1	skeleton | skin (study)	1		0	0		
Misc. - 1	miscellaneous	1		0	0		
Study skin - 1	skin (study)	1		0	0		
Skull - 1; Skull - 1	skull | skull	1		0	0		
No data - 1		1		0	0		
Skeleton - 1; Flat Skin - 1	skeleton | skin (flat)	1		0	0		
Misc. - 1; Skeleton - 1	miscellaneous | skeleton	1		0	0		
Mounted - 1	mount	1		0	0		
Skull - 1; Misc. - 1	miscellaneous | skull	1		0	0		
Skull - 1; Mounted - 1	mount | skull	1		0	0		
Skull - 1; Study skin - 1	skin (study) | skull	1		0	0		
Misc. - 1; Skin - 1	miscellaneous | skin	1		0	0		
Skeleton - 1; No data - 1	skeleton	1		0	0		
